Time,Open,High,Low,Last,Change,Volume
09/23/19,1.10138,1.10251,1.09661,1.09924,-0.00251,128604
09/20/19,1.104,1.10672,1.09963,1.10175,-0.0022500000000001,131188
09/19/19,1.10289,1.1073,1.10228,1.104,0.00112,148483
09/18/19,1.10719,1.10752,1.10155,1.10288,-0.0043099999999998,119252
09/17/19,1.10002,1.10739,1.09901,1.10719,0.0071599999999998,135592
09/16/19,1.10772,1.10858,1.09932,1.10003,-0.00719,124639
09/13/19,1.10624,1.11091,1.1055,1.10722,0.00097000000000014,142061
09/12/19,1.10099,1.10864,1.09269,1.10625,0.00526,168284
09/11/19,1.10428,1.10553,1.09851,1.10099,-0.00329,115680
09/10/19,1.10463,1.10592,1.10305,1.10428,-0.00034000000000001,112409
09/09/19,1.10259,1.10677,1.10152,1.10462,0.0020099999999998,110382
09/06/19,1.10341,1.10567,1.10201,1.10261,-0.00079999999999991,141525
09/05/19,1.10344,1.10828,1.10168,1.10341,-1.9999999999909E-5,133052
09/04/19,1.09724,1.10379,1.09679,1.10343,0.0062099999999998,128671
09/03/19,1.09668,1.09781,1.09261,1.09722,0.00056000000000012,131777
09/02/19,1.09961,1.09961,1.09577,1.09666,-0.00223,83158
08/30/19,1.10558,1.10598,1.0963,1.09889,-0.0066900000000001,132438
08/29/19,1.10767,1.10876,1.10417,1.10558,-0.0020899999999999,135157
08/28/19,1.10892,1.10975,1.10731,1.10767,-0.00125,121223
08/27/19,1.10995,1.11153,1.10859,1.10892,-0.0010400000000002,126480
08/26/19,1.11598,1.11629,1.10939,1.10996,-0.0037199999999999,172478
08/23/19,1.1079,1.11528,1.10516,1.11368,0.0057799999999999,124829
08/22/19,1.1084,1.11125,1.10635,1.1079,-0.00048999999999988,123749
08/21/19,1.10994,1.11066,1.1081,1.10839,-0.00156,101150
08/20/19,1.10777,1.11062,1.10655,1.10995,0.0021899999999999,104181
08/19/19,1.10894,1.11124,1.10763,1.10776,-0.00119,92437
08/16/19,1.11067,1.11117,1.10663,1.10895,-0.0017099999999999,134530
08/15/19,1.11376,1.11578,1.10917,1.11066,-0.0031099999999999,149679
08/14/19,1.11706,1.11905,1.11305,1.11377,-0.00329,141314
08/13/19,1.12131,1.12281,1.11701,1.11706,-0.00424,146176
08/12/19,1.11953,1.12302,1.11618,1.1213,0.00152,136441
08/09/19,1.11787,1.1222,1.11782,1.11978,0.0019,130907
08/08/19,1.11983,1.12298,1.11767,1.11788,-0.0019400000000001,169567
08/07/19,1.12004,1.12415,1.11793,1.11982,-0.00022999999999995,177145
08/06/19,1.12022,1.12492,1.11676,1.12005,-0.00017,188228
08/05/19,1.11058,1.1212,1.1102,1.12022,0.00962,183445
08/02/19,1.1084,1.1116,1.10695,1.1106,0.0022,214237
08/01/19,1.10758,1.10946,1.10266,1.1084,0.00082000000000004,179778
07/31/19,1.11547,1.11618,1.106,1.10758,-0.00789,145122
07/30/19,1.11443,1.11602,1.11319,1.11547,0.0010399999999999,125501
07/29/19,1.11247,1.11504,1.11129,1.11443,0.0019899999999999,92085
07/26/19,1.11464,1.11505,1.11117,1.11244,-0.0022099999999998,113018
07/25/19,1.1139,1.11871,1.11012,1.11465,0.00075999999999987,160543
07/24/19,1.1151,1.11555,1.11269,1.11389,-0.0012099999999999,116210
07/23/19,1.12085,1.12091,1.11451,1.1151,-0.0057400000000001,109814
07/22/19,1.12134,1.12247,1.12059,1.12084,-0.0010999999999999,102125
07/19/19,1.12761,1.12812,1.12043,1.12194,-0.0056700000000001,140078
07/18/19,1.12236,1.12797,1.12051,1.12761,0.00526,150980
07/17/19,1.12112,1.12334,1.11997,1.12235,0.00139,102236
07/16/19,1.1261,1.1264,1.12017,1.12096,-0.0047600000000001,122113
07/15/19,1.12691,1.1284,1.12533,1.12572,-0.0012099999999999,97176
07/12/19,1.1253,1.1275,1.12378,1.12693,0.0016799999999999,125871
07/11/19,1.12502,1.12857,1.12451,1.12525,0.00025000000000008,139307
07/10/19,1.12086,1.12641,1.12014,1.125,0.00427,133266
07/09/19,1.1216,1.1219,1.11934,1.12073,-0.00062000000000006,98604
07/08/19,1.12242,1.12344,1.12066,1.12135,-0.0010699999999999,92415
07/05/19,1.12827,1.1288,1.12069,1.12242,-0.0059800000000001,130233
07/04/19,1.12804,1.12951,1.12731,1.1284,0.00069000000000008,74768
07/03/19,1.12841,1.13123,1.12684,1.12771,-0.00089000000000006,134170
07/02/19,1.1287,1.13215,1.12748,1.1286,9.9999999999989E-5,135581
07/01/19,1.13627,1.1371,1.12811,1.1285,-0.0083599999999999,174525
06/28/19,1.13685,1.13929,1.13507,1.13686,-1.0000000000066E-5,162377
06/27/19,1.1367,1.1381,1.13477,1.13687,-0.00012999999999996,171240
06/26/19,1.137,1.13914,1.13473,1.137,0.00039999999999996,197778
06/25/19,1.1398,1.1413,1.1344,1.1366,-0.00315,287087
06/24/19,1.13715,1.14039,1.13655,1.13975,0.0029399999999999,215438
06/21/19,1.12914,1.13778,1.12827,1.13681,0.0076900000000002,289856
06/20/19,1.1224,1.13181,1.1224,1.12912,0.0065999999999999,304747
06/19/19,1.1194,1.12521,1.1187,1.12252,0.0031999999999999,210181
06/18/19,1.1216,1.1243,1.11811,1.11932,-0.00237,260808
06/17/19,1.12065,1.1247,1.12036,1.12169,0.00097999999999998,166923
06/14/19,1.1278,1.1289,1.12023,1.12071,-0.00681,238012
06/13/19,1.12897,1.13036,1.12687,1.12752,-0.0010899999999998,207001
06/12/19,1.1327,1.13433,1.12825,1.12861,-0.0039200000000001,230326
06/11/19,1.13118,1.13375,1.13015,1.13253,0.00149,220025
06/10/19,1.13166,1.1333,1.12903,1.13104,-0.0022599999999999,177241
06/07/19,1.12753,1.13477,1.12513,1.1333,0.00579,241172
06/06/19,1.12216,1.13087,1.12026,1.12751,0.0055000000000001,272901
06/05/19,1.12504,1.13066,1.12196,1.12201,-0.00305,267320
06/04/19,1.12402,1.12775,1.12265,1.12506,0.0010699999999999,245160
06/03/19,1.11612,1.1263,1.11564,1.12399,0.00715,204231
05/31/19,1.113,1.1181,1.11249,1.11684,0.0039200000000001,241489
05/30/19,1.11314,1.11433,1.1116,1.11292,-0.00014000000000003,172861
05/29/19,1.1161,1.1173,1.11257,1.11306,-0.0029000000000001,188877
05/28/19,1.1198,1.1202,1.1159,1.11596,-0.00312,189036
05/27/19,1.12076,1.1216,1.1183,1.11908,-0.00119,108818
05/24/19,1.11812,1.1212,1.11741,1.12027,0.00221,183945
05/23/19,1.1154,1.11874,1.11074,1.11806,0.00309,216867
05/22/19,1.1166,1.1181,1.11486,1.11497,-0.00093999999999994,170396
05/21/19,1.117,1.11878,1.11417,1.11591,-0.00058000000000002,191474
05/20/19,1.1156,1.1175,1.11504,1.11649,0.00086999999999993,156620
05/17/19,1.1175,1.11842,1.11545,1.11562,-0.0016499999999999,201672
05/16/19,1.1205,1.1225,1.11662,1.11727,-0.00393,196238
05/15/19,1.1209,1.1224,1.11781,1.1212,-0.00039999999999996,209847
05/14/19,1.1223,1.1244,1.12011,1.1216,-0.0017,202651
05/13/19,1.12325,1.1264,1.12211,1.1233,0,196387
05/10/19,1.1212,1.12526,1.12119,1.1233,0.00204,236333
05/09/19,1.1192,1.12506,1.11733,1.12126,0.0021899999999999,79964
05/08/19,1.119,1.12134,1.11834,1.11907,2.9999999999974E-5,79020
05/07/19,1.1198,1.12176,1.11667,1.11904,-0.00068000000000001,71271
05/06/19,1.11604,1.12088,1.11604,1.11972,-0.00022999999999995,67184
05/03/19,1.1171,1.12043,1.11379,1.11995,0.0027900000000001,80540
05/02/19,1.1196,1.12188,1.11703,1.11716,-0.00231,69313
05/01/19,1.12139,1.12642,1.11873,1.11947,-0.00196,67049
04/30/19,1.1185,1.12284,1.11755,1.12143,0.0029399999999999,73278
04/29/19,1.11499,1.11866,1.1142,1.11849,0.0041199999999999,51917
04/26/19,1.11277,1.11727,1.11121,1.11437,0.0012700000000001,81321
04/25/19,1.1154,1.11621,1.11178,1.1131,-0.0021599999999999,74185
04/24/19,1.12257,1.12277,1.11406,1.11526,-0.00746,86840
04/23/19,1.12573,1.12607,1.11924,1.12272,-0.0029000000000001,64161
04/22/19,1.12399,1.12617,1.12358,1.12562,0.0014500000000002,31103
04/19/19,1.12315,1.12486,1.12271,1.12417,0.0012699999999999,31661
04/18/19,1.12922,1.13037,1.1226,1.1229,-0.00641,84191
04/17/19,1.1279,1.13233,1.12784,1.12931,0.0012799999999999,70182
04/16/19,1.1304,1.13135,1.12798,1.12803,-0.0022599999999999,78284
04/15/19,1.12996,1.13206,1.12976,1.13029,0.00042000000000009,55898
04/12/19,1.12512,1.13235,1.12512,1.12987,0.0047299999999999,71253
04/11/19,1.1273,1.12871,1.12497,1.12514,-0.0021599999999999,65216
04/10/19,1.1262,1.12843,1.12293,1.1273,0.0011399999999999,81351
04/09/19,1.126,1.12836,1.12548,1.12616,0.00011000000000005,68933
04/08/19,1.12139,1.1274,1.1211,1.12605,0.00457,55372
04/05/19,1.122,1.12419,1.121,1.12148,-0.00055999999999989,71435
04/04/19,1.1233,1.12473,1.12061,1.12204,-0.0011400000000001,68058
04/03/19,1.12039,1.12545,1.11999,1.12318,0.00274,73346
04/02/19,1.12125,1.12135,1.11835,1.12044,-0.0008499999999998,74217
04/01/19,1.1228,1.12493,1.12036,1.12129,-0.00039000000000011,72380
