Time,Open,High,Low,Last,Change,Volume
12/19/19,0.98028,0.98117,0.97698,0.97836,-0.0019101,103257
12/18/19,0.97991,0.98206,0.9795301,0.9802701,0.00036010000000009,94853
12/17/19,0.9822701,0.9843401,0.9795501,0.97991,-0.0023701,103659
12/16/19,0.98385,0.9846401,0.9819601,0.9822801,-0.00098989999999999,85596
12/13/19,0.98374,0.98623,0.9805301,0.98327,-0.00044010000000005,156389
12/12/19,0.9826201,0.98754,0.9808401,0.9837101,0.0010800000000001,115990
12/11/19,0.9842701,0.9863101,0.98138,0.9826301,-0.0016400000000001,111020
12/10/19,0.9875901,0.98818,0.9833401,0.9842701,-0.00335,91937
12/09/19,0.9908801,0.99098,0.9874601,0.9876201,-0.00234,77682
12/06/19,0.98691,0.99173,0.98641,0.9899601,0.00304,93321
12/05/19,0.9881501,0.9895101,0.98678,0.9869201,-0.0012800000000001,97887
12/04/19,0.9869001,0.9899601,0.98549,0.9882001,0.0012800000000001,118251
12/03/19,0.9911501,0.99257,0.9857101,0.9869201,-0.0042300000000001,105200
12/02/19,1.00012,1.00078,0.99111,0.9911501,-0.0085,92299
11/29/19,0.9983701,1.00228,0.99792,0.9996501,0.0012799999999999,111026
11/28/19,0.9990801,0.9995601,0.9980701,0.9983701,-0.00072989999999995,72845
11/27/19,0.9971901,0.99999,0.9967601,0.9991,0.0018899,105060
11/26/19,0.9965001,0.99863,0.99591,0.9972101,0.00069010000000003,101815
11/25/19,0.9978901,0.9985301,0.99598,0.99652,-0.00033000000000005,93076
11/22/19,0.99301,0.99799,0.9924001,0.99685,0.0038400000000001,110110
11/21/19,0.99081,0.99344,0.98901,0.99301,0.0022,119841
11/20/19,0.99038,0.9936401,0.98976,0.99081,0.00042999999999993,120170
11/19/19,0.9894601,0.9918301,0.98813,0.99038,0.00092999999999999,93587
11/18/19,0.98949,0.99137,0.98681,0.98945,0.00011990000000006,94995
11/15/19,0.98786,0.99106,0.98768,0.9893301,0.0014601,94313
11/14/19,0.98988,0.9907401,0.987,0.98787,-0.00201,107874
11/13/19,0.9929601,0.99345,0.9883401,0.98988,-0.00309,110165
11/12/19,0.9932401,0.9964001,0.9922701,0.99297,-0.00025999999999993,112385
11/11/19,0.99666,0.9976501,0.99285,0.99323,-0.0033501,77848
11/08/19,0.99447,0.9978301,0.9942601,0.9965801,0.0021301,164481
11/07/19,0.9927101,0.99748,0.99106,0.99445,0.0017299999999999,208504
11/06/19,0.99254,0.9939601,0.99151,0.99272,0.0002099000000001,156507
11/05/19,0.98761,0.9935201,0.9872801,0.9925101,0.0049001,192982
