Time,Open,High,Low,Last,Change,Volume
09/30/19,1.22994,1.23425,1.22755,1.2293,0.00059000000000009,174931
09/27/19,1.23148,1.23361,1.2271,1.22871,-0.00271,189900
09/26/19,1.23477,1.23796,1.23026,1.23142,-0.00336,203940
09/25/19,1.24924,1.24962,1.23475,1.23478,-0.01446,210138
09/24/19,1.24311,1.25025,1.24137,1.24924,0.0061399999999998,213769
09/23/19,1.2475,1.249,1.24128,1.2431,-0.0038799999999999,201134
09/20/19,1.2521,1.25811,1.24627,1.24698,-0.0051000000000001,245259
09/19/19,1.2469,1.25567,1.24367,1.25208,0.0051600000000001,236862
09/18/19,1.24985,1.25114,1.24392,1.24692,-0.0029399999999999,200366
09/17/19,1.24272,1.2526,1.23925,1.24986,0.0071600000000001,204676
09/16/19,1.24929,1.25023,1.23993,1.2427,-0.00708,203149
09/13/19,1.23302,1.25046,1.23267,1.24978,0.0168,239195
09/12/19,1.23277,1.23661,1.22837,1.23298,0.00018999999999991,252914
09/11/19,1.2354,1.23699,1.23125,1.23279,-0.0026599999999999,223527
09/10/19,1.23432,1.23775,1.23069,1.23545,0.0011099999999999,224565
09/09/19,1.2274,1.23829,1.22332,1.23434,0.0063800000000001,233593
09/06/19,1.23295,1.23428,1.22792,1.22796,-0.00499,255658
09/05/19,1.22512,1.23531,1.22099,1.23295,0.0078199999999999,305798
09/04/19,1.20792,1.2256,1.20773,1.22513,0.01725,298829
09/03/19,1.20615,1.21049,1.19582,1.20788,0.00176,291952
09/02/19,1.21561,1.21742,1.20359,1.20612,-0.01004,209665
08/30/19,1.21804,1.2224,1.2139,1.21616,-0.0019100000000001,264631
08/29/19,1.22077,1.2232,1.21721,1.21807,-0.0026900000000001,267179
08/28/19,1.22873,1.22896,1.21568,1.22076,-0.00796,289866
08/27/19,1.22166,1.23079,1.22087,1.22872,0.00712,254070
08/26/19,1.22574,1.22848,1.22076,1.2216,-0.00692,292091
08/23/19,1.22516,1.22928,1.21945,1.22852,0.00335,246343
08/22/19,1.21197,1.2272,1.21083,1.22517,0.01326,259599
08/21/19,1.21677,1.21745,1.21132,1.21191,-0.00485,220173
08/20/19,1.21238,1.21776,1.20646,1.21676,0.0043600000000001,252338
08/19/19,1.21438,1.21721,1.21046,1.2124,-0.002,179856
08/16/19,1.20792,1.21748,1.20752,1.2144,0.0065,254611
08/15/19,1.20536,1.21494,1.20503,1.2079,0.0024999999999999,257448
08/14/19,1.2059,1.20999,1.20443,1.2054,-0.00048999999999988,277026
08/13/19,1.20737,1.20975,1.20418,1.20589,-0.0014800000000001,262228
08/12/19,1.20599,1.21057,1.20147,1.20737,0.00546,265841
08/09/19,1.21319,1.21474,1.20191,1.20191,-0.01127,190305
08/08/19,1.21416,1.21818,1.20952,1.21318,-0.0010300000000001,218201
08/07/19,1.21644,1.21904,1.21212,1.21421,-0.00221,222191
08/06/19,1.21392,1.22089,1.21353,1.21642,0.0021200000000001,239253
08/05/19,1.21598,1.21875,1.21015,1.2143,-0.0016700000000001,228591
08/02/19,1.21264,1.21689,1.20901,1.21597,0.00299,266381
08/01/19,1.21587,1.21696,1.20796,1.21298,-0.0028900000000001,243504
07/31/19,1.21487,1.2249,1.21357,1.21587,0.00096999999999992,216346
07/30/19,1.22161,1.2225,1.21184,1.2149,-0.0067199999999998,223879
07/29/19,1.23793,1.23823,1.22122,1.22162,-0.01631,168026
07/26/19,1.24454,1.24592,1.23759,1.23793,-0.0074700000000001,168085
07/25/19,1.24828,1.25173,1.24365,1.2454,-0.0028699999999999,208369
07/24/19,1.24376,1.25213,1.24249,1.24827,0.00437,179381
07/23/19,1.24734,1.2481,1.24172,1.2439,-0.00343,183687
07/22/19,1.2498,1.25131,1.24554,1.24733,-0.0027999999999999,147700
07/19/19,1.25463,1.25551,1.24778,1.25013,-0.0044999999999999,180630
07/18/19,1.24313,1.25575,1.24249,1.25463,0.0115,216463
07/17/19,1.2407,1.24564,1.23821,1.24313,0.0026600000000001,202744
07/16/19,1.2515,1.2521,1.2396,1.24047,-0.01113,217678
07/15/19,1.25741,1.2578,1.25102,1.2516,-0.00614,164017
07/12/19,1.2525,1.2579,1.25156,1.25774,0.0057700000000001,215064
07/11/19,1.2499,1.25711,1.24885,1.25197,0.0017499999999999,225336
07/10/19,1.2468,1.2521,1.24434,1.25022,0.0035200000000002,220206
07/09/19,1.25195,1.2523,1.24397,1.2467,-0.00495,182831
07/08/19,1.25267,1.25397,1.24997,1.25165,-0.00070000000000014,155744
07/05/19,1.2579,1.25875,1.24809,1.25235,-0.00528,217403
07/04/19,1.2572,1.2591,1.25626,1.25763,0.00073000000000012,142928
07/03/19,1.2594,1.2601,1.25572,1.2569,-0.0023500000000001,201362
07/02/19,1.2639,1.265,1.25839,1.25925,-0.00465,229913
07/01/19,1.27022,1.27056,1.26319,1.2639,-0.00434,278344
06/28/19,1.26666,1.27342,1.26597,1.26824,0.00162,291014
06/27/19,1.2686,1.27244,1.26614,1.26662,-0.0021799999999998,321725
06/26/19,1.2689,1.27069,1.26627,1.2688,0.00082999999999989,379683
06/25/19,1.2741,1.27841,1.26719,1.26797,-0.00589,393364
06/24/19,1.27407,1.27663,1.27079,1.27386,-0.00025000000000008,363495
06/21/19,1.2699,1.2748,1.26424,1.27411,0.0040100000000001,468429
06/20/19,1.26366,1.27265,1.2633,1.2701,0.0059,471908
06/19/19,1.25539,1.26732,1.25423,1.2642,0.0084,378886
06/18/19,1.25379,1.2565,1.25063,1.2558,0.00251,401176
06/17/19,1.25867,1.26054,1.25305,1.25329,-0.0059100000000001,301468
06/14/19,1.26787,1.2688,1.25795,1.2592,-0.0079899999999999,400462
06/13/19,1.26913,1.27077,1.26621,1.26719,-0.0015099999999999,384179
06/12/19,1.2721,1.27585,1.26812,1.2687,-0.0032100000000002,425017
06/11/19,1.2684,1.27328,1.26701,1.27191,0.0035000000000001,397392
06/10/19,1.27336,1.274,1.26535,1.26841,-0.00498,343374
06/07/19,1.2699,1.27627,1.2685,1.27339,0.00474,379604
06/06/19,1.2688,1.27417,1.26685,1.26865,0.00025000000000008,410594
06/05/19,1.26882,1.27434,1.26796,1.2684,-0.00112,389357
06/04/19,1.26637,1.27143,1.26421,1.26952,0.00318,388725
06/03/19,1.26228,1.26737,1.26101,1.26634,0.0029399999999999,319725
05/31/19,1.2613,1.26441,1.25592,1.2634,0.0028600000000001,369310
05/30/19,1.26262,1.26407,1.25806,1.26054,-0.0017499999999999,323070
05/29/19,1.26545,1.26707,1.2612,1.26229,-0.0029100000000002,348714
05/28/19,1.26811,1.27017,1.26498,1.2652,-0.0024499999999998,392143
05/27/19,1.27351,1.27477,1.26668,1.26765,-0.0034700000000001,330464
05/24/19,1.26551,1.27327,1.26411,1.27112,0.00566,381854
05/23/19,1.2664,1.26833,1.26049,1.26546,-0.00024000000000002,371078
05/22/19,1.27049,1.272,1.26242,1.2657,-0.0045299999999999,379415
05/21/19,1.27206,1.28104,1.2685,1.27023,-0.002,381864
05/20/19,1.27296,1.2758,1.27146,1.27223,0.0010299999999999,268149
05/17/19,1.28009,1.2808,1.2712,1.2712,-0.0080499999999999,359498
05/16/19,1.2849,1.2861,1.27876,1.27925,-0.0062500000000001,357635
05/15/19,1.29036,1.29228,1.28263,1.2855,-0.0049999999999999,362341
05/14/19,1.29563,1.29713,1.29031,1.2905,-0.0052000000000001,354730
05/13/19,1.29989,1.3041,1.29411,1.2957,-0.0042,301493
